Código;Nome;Data Nascimento;Data Ingresso;Coordenador?
7957601913363162;Tyrion Lannister;11/06/1969;18/05/2004;
2340785998176993;Jaime Lannister;27/07/1970;01/07/2007;
1993642818354262;Olenna Tyrell;20/07/1938;10/03/1970;
7228116643110794;Cersei Lannister;03/10/1973;01/07/2007;X
8345465622971273;Jon Snow;26/12/1986;21/09/2013;
4659278323910994;Davos Seaworth;02/06/1961;12/03/1990;
1064279727090248;Daenerys Targaryen;23/10/1986;12/10/2010;
7751132094594722;Stannis Baratheon;27/03/1957;02/01/1988;
7736473673928777;Sansa Stark;21/02/1996;01/01/2017;
5640324072212251;Arya Stark;15/04/1997;06/12/2016;
